Points:0,Points:1,Points:2,vtkOriginalIndices
2.80822,-1.96034,0,218
2.769,-1.76788,0,219
2.72979,-1.57543,0,220
2.69058,-1.38297,0,221
2.65419,-1.20436,0,222
2.62227,-1.04768,0,223
2.59427,-0.910249,0,224
2.56971,-0.789692,0,225
2.54816,-0.683941,0,226
2.52926,-0.591176,0,227
2.51268,-0.509804,0,228
2.49814,-0.438424,0,229
2.48538,-0.375811,0,230
2.47419,-0.320887,0,231
2.46437,-0.272707,0,232
2.45576,-0.230445,0,233
2.44821,-0.193373,0,234
2.44159,-0.160853,0,235
2.43577,-0.132328,0,236
2.43068,-0.107305,0,237
2.4262,-0.0853552,0,238
2.42228,-0.066101,0,239
2.41884,-0.0492114,0,240
2.41582,-0.034396,0,241
2.41317,-0.0214,0,242
2.41085,-0.01,0,243
2.40881,3.4103e-09,0,244
2.99872,-3.5,0,245
2.95669,-3.30754,0,246
2.91466,-3.11509,0,247
2.87263,-2.92263,0,248
2.8306,-2.73017,0,249
2.78857,-2.53771,0,250
2.74654,-2.34526,0,251
2.70451,-2.1528,0,252
2.66248,-1.96034,0,253
2.62045,-1.76788,0,254
2.57842,-1.57543,0,255
2.53639,-1.38297,0,256
2.49739,-1.20436,0,257
2.46317,-1.04768,0,258
2.43316,-0.910249,0,259
2.40683,-0.789692,0,260
2.38374,-0.683941,0,261
2.36348,-0.591176,0,262
2.34571,-0.509804,0,263
2.33012,-0.438424,0,264
2.31645,-0.375811,0,265
2.30445,-0.320887,0,266
2.29393,-0.272707,0,267
2.2847,-0.230445,0,268
2.27661,-0.193373,0,269
2.26951,-0.160853,0,270
2.26328,-0.132328,0,271
2.25781,-0.107305,0,272
2.25302,-0.0853552,0,273
2.24881,-0.066101,0,274
2.24513,-0.0492114,0,275
2.24189,-0.034396,0,276
2.23905,-0.0214,0,277
2.23656,-0.01,0,278
2.23438,3.78416e-09,0,279
2.88144,-3.5,0,280
2.83731,-3.30754,0,281
2.79317,-3.11509,0,282
2.74903,-2.92263,0,283
2.7049,-2.73017,0,284
2.66076,-2.53771,0,285
2.61662,-2.34526,0,286
2.57249,-2.1528,0,287
2.52835,-1.96034,0,288
2.48421,-1.76788,0,289
2.44008,-1.57543,0,290
