x,y,value
0,0,0.60633
0,1,0.60633
0,2,0.60633
0,3,0.60633
0,4,0.60633
0,5,0.60633
0,6,0.60633
0,7,0.60633
0,8,0.60633
0,9,0.60633
0,10,0.60633
0,11,0.60633
0,12,0.60633
0,13,0.60633
0,14,0.60633
0,15,0.60633
0,16,0.60633
0,17,0.60633
0,18,0.60633
0,19,0.60633
0,20,0.60633
0,21,0.60633
0,22,0.60633
0,23,0.60633
0,24,0.60633
0,25,0.60633
0,26,0.60633
0,27,0.60633
0,28,0.60633
0,29,0.60633
0,30,0.60633
0,31,0.60633
0,32,0.60633
0,33,0.60633
0,34,0.60633
0,35,0.60633
1,0,0.60633
1,1,0.60633
1,2,0.60633
1,3,0.60633
1,4,0.60633
1,5,0.60633
1,6,0.60633
1,7,0.60633
1,8,0.60633
1,9,0.60633
1,10,0.60633
1,11,0.60633
1,12,0.60633
1,13,0.60633
1,14,0.60633
1,15,0.60633
1,16,0.60633
1,17,0.60633
1,18,0.60633
1,19,0.60633
1,20,0.60633
1,21,0.60633
1,22,0.60633
1,23,0.60633
1,24,0.60633
1,25,0.60633
1,26,0.60633
1,27,0.60633
1,28,0.60633
1,29,0.60633
1,30,0.60633
1,31,0.60633
1,32,0.60633
1,33,0.60633
1,34,0.60633
1,35,0.60633
2,0,0.60633
2,1,0.60633
2,2,0.60633
2,3,0.60633
2,4,0.60633
2,5,0.60633
2,6,0.60633
2,7,0.60633
2,8,0.60633
2,9,0.60633
2,10,0.60633
2,11,0.60633
2,12,0.60633
2,13,0.60633
2,14,0.60633
2,15,0.60633
2,16,0.60633
2,17,0.60633
2,18,0.60633
2,19,0.60633
2,20,0.60633
2,21,0.60633
2,22,0.60633
2,23,0.60633
2,24,0.60633
2,25,0.60633
2,26,0.60633
2,27,0.60633
2,28,0.60633
2,29,0.60633
2,30,0.60633
2,31,0.60633
2,32,0.60633
2,33,0.60633
2,34,0.60633
2,35,0.60633
3,0,0.60633
3,1,0.60633
3,2,0.60633
3,3,0.60633
3,4,0.60633
3,5,0.60633
3,6,0.60633
3,7,0.60633
3,8,0.60633
3,9,0.60633
3,10,0.60633
3,11,0.60633
3,12,0.60633
3,13,0.60633
3,14,0.60633
3,15,0.60633
3,16,0.60633
3,17,0.60633
3,18,0.60633
3,19,0.60633
3,20,0.60633
3,21,0.60633
3,22,0.60633
3,23,0.60633
3,24,0.60633
3,25,0.60633
3,26,0.60633
3,27,0.60633
3,28,0.60633
3,29,0.60633
3,30,0.60633
3,31,0.60633
3,32,0.60633
3,33,0.60633
3,34,0.60633
3,35,0.60633
4,0,0.60633
4,1,0.60633
4,2,0.60633
4,3,0.60633
4,4,0.60633
4,5,0.60633
4,6,0.60633
4,7,0.60633
4,8,0.60633
4,9,0.60633
4,10,0.60633
4,11,0.60633
4,12,0.60633
4,13,0.60633
4,14,0.60633
4,15,0.60633
4,16,0.60633
4,17,0.60633
4,18,0.60633
4,19,0.60633
4,20,0.60633
4,21,0.60633
4,22,0.60633
4,23,0.60633
4,24,0.60633
4,25,0.60633
4,26,0.60633
4,27,0.60633
4,28,0.60633
4,29,0.60633
4,30,0.60633
4,31,0.60633
4,32,0.60633
4,33,0.60633
4,34,0.60633
4,35,0.60633
5,0,0.60633
5,1,0.60633
5,2,0.60633
5,3,0.60633
5,4,0.60633
5,5,0.60633
5,6,0.60633
5,7,0.60633
5,8,0.60633
5,9,0.60633
5,10,0.60633
5,11,0.60633
5,12,0.60633
5,13,0.60633
5,14,0.60633
5,15,0.60633
5,16,0.60633
5,17,0.60633
5,18,0.60633
5,19,0.60633
5,20,0.60633
5,21,0.60633
5,22,0.60633
5,23,0.60633
5,24,0.60633
5,25,0.60633
5,26,0.60633
5,27,0.60633
5,28,0.60633
5,29,0.60633
5,30,0.60633
5,31,0.60633
5,32,0.60633
5,33,0.60633
5,34,0.60633
5,35,0.60633
6,0,0.60633
6,1,0.60633
6,2,0.60633
6,3,0.60633
6,4,0.60633
6,5,0.60633
6,6,0.60633
6,7,0.60633
6,8,0.60633
6,9,0.60633
6,10,0.60633
6,11,0.60633
6,12,0.60633
6,13,0.60633
6,14,0.60633
6,15,0.60633
6,16,0.60633
6,17,0.60633
6,18,0.60633
6,19,0.60633
6,20,0.60633
6,21,0.60633
6,22,0.60633
6,23,0.60633
6,24,0.60633
6,25,0.60633
6,26,0.60633
6,27,0.60633
6,28,0.60633
6,29,0.60633
6,30,0.60633
6,31,0.60633
6,32,0.60633
6,33,0.60633
6,34,0.60633
6,35,0.60633
7,0,0.60633
7,1,0.60633
7,2,0.60633
7,3,0.60633
7,4,0.60633
7,5,0.60633
7,6,0.60633
7,7,0.60633
7,8,0.60633
7,9,0.60633
7,10,0.60633
7,11,0.60633
7,12,0.60633
7,13,0.60633
7,14,0.60633
7,15,0.60633
7,16,0.60633
7,17,0.60633
7,18,0.60633
7,19,0.60633
7,20,0.60633
7,21,0.60633
7,22,0.60633
7,23,0.60633
7,24,0.60633
7,25,0.60633
7,26,0.60633
7,27,0.60633
7,28,0.60633
7,29,0.60633
7,30,0.60633
7,31,0.60633
7,32,0.60633
7,33,0.60633
7,34,0.60633
7,35,0.60633
8,0,0.60633
8,1,0.60633
8,2,0.60633
8,3,0.60633
8,4,0.60633
8,5,0.60633
8,6,0.60633
8,7,0.60633
8,8,0.60633
8,9,0.60633
8,10,0.60633
8,11,0.60633
8,12,0.60633
8,13,0.60633
8,14,0.60633
8,15,0.60633
8,16,0.60633
8,17,0.60633
8,18,0.60633
